parola,n
clean,21350
communication,5957
kitchen,5773
view,4730
responsive,4632
bed,4449
space,4371
equipped,4297
bathroom,3618
family,3548
neighborhood,3490
tourist,3435
attractions,3362
provided,3321
air,3297
shops,3217
absolutely,3201
convenient,3167
terrace,3136
within,3051
extremely,2971
airport,2883
quite,2878
better,2832
questions,2805
people,2749
breakfast,2735
arsenale,2711
first,2668
still,2657
modern,2572
coffee,2549
quick,2525
amenities,2481
instructions,2452
shower,2439
beds,2357
perfectly,2332
floor,2325
bedroom,2295
views,2294
bars,2265
part,2236
luggage,2218
cozy,2217
supermarket,2209
appartment,2204
things,2203
stairs,2195
helped,2192
exactly,2169
balcony,2166
min,2160
peaceful,2152
return,2138
visiting,2121
welcoming,2094
outside,2052
information,2042
morning,2031
anyone,1998
door,1997
spot,1992
yet,1987
crowds,1980
hot,1978
eat,1975
welcome,1958
etc,1942
private,1920
pictures,1905
living,1897
described,1880
warm,1879
late,1867
plenty,1865
access,1854
windows,1843
use,1821
food,1819
venetian,1807
clear,1782
directions,1778
appreciated,1774
available,1766
meet,1761
easily,1752
book,1746
marks,1721
couple,1673
beach,1662
though,1659
charming,1646
decorated,1634
sights,1622
wifi,1609
conditioning,1605
andrea,1604
left,1601
heart,1580
busy,1576
neighbourhood,1541
ever,1539
giardini,1539
corner,1528
tourists,1527
quickly,1519
ideal,1508
top,1504
paolo,1492
old,1481
photos,1479
building,1465
accommodating,1464
walked,1459
getting,1455
via,1441
less,1438
worked,1433
pleasant,1412
however,1406
ferry,1389
sites,1388
explore,1382
long,1379
situated,1379
happy,1375
person,1360
full,1354
francesca,1353
mins,1331
problem,1330
store,1307
without,1302
hope,1301
value,1301
grocery,1299
showed,1299
cosy,1295
touristy,1295
leave,1290
thing,1286
machine,1271
early,1269
friends,1234
major,1234
safe,1217
light,1211
bedrooms,1209
cafes,1199
new,1199
work,1196
worth,1189
wine,1172
stylish,1165
beautifully,1157
price,1157
fabulous,1143
real,1143
exploring,1136
although,1124
everywhere,1122
luca,1122
extra,1119
expected,1112
needs,1112
truly,1112
awesome,1106
know,1104
incredible,1099
pretty,1096
open,1089
making,1085
including,1080
waterbus,1079
suggestions,1078
cute,1077
calm,1065
window,1048
second,1044
evening,1041
hotel,1034
plus,1026
sleep,1025
say,1021
since,1019
fully,1017
end,1006
noise,1005
garibaldi,1003
fast,1000
washing,1000
incredibly,999
hospitality,992
issue,990
inside,987
cool,980
fine,980
let,979
authentic,976
guests,963
appartement,960
special,956
advice,947
four,947
transport,947
throughout,943
bags,941
spent,940
might,939
useful,937
furnished,931
unit,929
front,920
side,918
spots,917
garden,915
high,915
last,909
never,909
gorgeous,904
towels,900
spotless,894
coming,893
chiara,889
map,889
town,889
transportation,889
bathrooms,886
stefano,883
stocked,882
flexible,881
flight,879
communicative,877
welcomed,875
kids,867
bustle,860
nicely,860
travel,855
public,849
several,839
husband,837
italian,836
friend,832
italy,828
communicate,826
responded,820
issues,817
whole,814
asked,812
booking,808
middle,805
respond,801
hard,799
service,799
contact,798
locals,798
lost,798
may,798
used,798
beyond,796
tidy,795
residential,789
size,789
longer,787
roof,784
grazie,782
base,779
foot,778
upon,777
think,775
cook,774
huge,772
hustle,767
touch,767
boats,766
answered,764
picked,763
renovated,763
appointed,760
