id,neighbourhood_cleansed,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,punteggio_medio
1496529503225840000,Castello,1,2,2,2,4,3,4,2,2.71428571428571
1213555041953810000,Castello,4,3,2.75,3,3,3,3.75,3,3.07142857142857
1214230358545290000,Castello,3,3.33,3.33,4,2,3,4.33,3.33,3.33142857142857
1167347270554950000,Lido,3,3.33,3.33,3,4.33,3,4.67,2.67,3.47571428571429
1358598034623640000,Castello,1,3,4,4,2,3,5,4,3.57142857142857
1214332975518780000,Castello,4,3,3.25,3.25,4.5,4.25,4.5,2.75,3.64285714285714
1213632882871410000,Castello,5,3.8,4.2,3.6,3.4,3.2,4.2,3.2,3.65714285714286
1460149007380710000,Lido,3,3.33,3.67,3.33,4.67,3.67,3.67,3.33,3.66714285714286
42954148,Castello,1,3,1,5,5,5,3,4,3.71428571428571
52214562,Lido,1,3,3,2,5,5,5,3,3.71428571428571
1420804213360370000,Castello,2,3.5,3,3.5,4,4,4.5,3.5,3.71428571428571
36330119,Lido,3,3.33,4,3,4,4,4.67,3.33,3.76142857142857
1386106886831120000,Castello,2,3.5,3,4,4.5,3.5,4.5,3.5,3.78571428571429
1460112204114260000,Lido,7,3.57,3.71,3.29,4.86,3.86,4,3.29,3.79714285714286
968713406283109000,Lido,4,3.5,3.5,4,4.5,3.5,4.75,3.5,3.89285714285714
83610,Castello,9,3.88,3.78,3.56,4.44,4,4.67,3.33,3.95142857142857
1356287891272900000,Castello,3,3.67,4,3.33,4.33,4.33,4.67,3.33,3.95142857142857
34225039,Castello,20,3.75,3.8,3.45,4.3,4.25,4.5,3.75,3.97142857142857
50780320,Lido,1,4,4,2,5,5,5,3,4
1213674748361190000,Castello,3,3.33,3.67,4,4.33,4.33,4.67,3.67,4
1445612794226200000,Castello,1,4,4,4,4,4,5,3,4
583088604634339000,Castello,3,3.67,3.67,4.67,4.67,4.33,4,3,4.00142857142857
616567468851584000,Castello,5,3.4,3.5,3.6,4.6,4.8,5,3.2,4.01428571428571
765912442040894000,Castello,8,3.75,3.63,4.38,4.38,3.88,4.75,3.38,4.02142857142857
129278,Lido,8,3.8,4.13,2.88,4.38,4.38,4.88,3.75,4.02857142857143
36068063,Castello,3,4.33,3.33,4.67,3.67,3.33,5,4,4.04714285714286
28515467,Castello,2,3.5,5,3.5,5,3,5,3.5,4.07142857142857
24844608,Castello,7,4.14,3.86,4.57,4.14,3.57,4.43,4,4.10142857142857
1449077000275960000,Castello,4,3.75,4,3.75,4.5,4,4.5,4.25,4.10714285714286
1301680481923160000,Castello,22,4,4,3.77,3.95,4.27,4.82,4.05,4.12285714285714
1213712031210440000,Castello,1,3,4,4,5,5,4,4,4.14285714285714
1426698659837490000,Castello,4,4,4,4.25,4,4,4.75,4,4.14285714285714
935585069632792000,Castello,22,4,3.95,4.14,4.27,4.64,4.41,3.73,4.16285714285714
23332657,Lido,4,4.25,4,5,3.75,3.5,4.75,4,4.17857142857143
50780139,Lido,3,4,4.33,3.67,4,4.33,5,4,4.19
1213662665244310000,Castello,7,3.86,4.14,4.14,4.57,4.29,4.57,3.86,4.20428571428571
1049975933282110000,Castello,6,4.17,4.17,4.83,4,3.83,4.33,4.17,4.21428571428571
1425065816058870000,Castello,7,4,4.14,4.29,4.43,4.43,4.57,3.71,4.22428571428571
1214299259692060000,Castello,12,4,4.5,4.25,3.92,4.08,4.42,4.42,4.22714285714286
6165156,Castello,13,4.15,4.15,3.15,4.46,4.46,4.92,4.31,4.22857142857143
14881199,Castello,9,4,4.44,4.44,4.11,4.22,4.56,4.11,4.26857142857143
21807580,Castello,28,4.18,4.25,4.46,4.07,4.18,4.61,4.18,4.27571428571429
1401676464271640000,Castello,6,3.83,4.33,4.17,4.83,4.17,4.83,3.83,4.28428571428571
549107201984713000,Castello,4,4,3.75,4.75,4.5,4.25,4.75,4,4.28571428571429
554106115061235000,Castello,1,4,3,5,4,5,5,4,4.28571428571429
938978623479288000,Lido,1,4,4,4,4,5,5,4,4.28571428571429
1244636746677990000,Castello,1,3,3,5,5,5,5,4,4.28571428571429
41301335,Castello,11,4,4.27,4.45,4.09,4.27,4.91,4.09,4.29714285714286
722283993791502000,Castello,58,4.21,4.26,4.33,4.52,4.36,4.52,3.9,4.3
1394887332142010000,Castello,6,4.33,4.33,4.17,4.33,3.67,5,4.33,4.30857142857143
1004797902509900000,Castello,6,4.17,4.5,5,4.5,3.83,4,4.17,4.31
18456546,Castello,4,4,4,4.75,3.75,4.75,4.75,4.25,4.32142857142857
1213693918799840000,Castello,8,3.88,4.63,3.75,4.38,4.75,4.75,4.13,4.32428571428571
24318433,Castello,59,4.14,4.24,4.41,4.14,4.47,4.66,4.26,4.33142857142857
1214417246752180000,Castello,9,4.22,4.44,4,4.33,4.33,4.89,4.11,4.33142857142857
1401589483446780000,Castello,3,4.33,4.33,4,5,4,4.67,4,4.33285714285714
1213739574437310000,Castello,18,4.17,4.39,4.11,4.22,4.5,4.89,4.06,4.33428571428571
