Evento,Luogo Principale,Spazio Specifico,Data,Latitudine,Longitudine
Biennale Arte,GIARDINI DELLA BIENNALE,PADIGLIONE CENTRALE,9 Maggio - 11 Novembre 2026,45.42893028925422,12.358016224089988
Biennale Arte,GIARDINI DELLA BIENNALE,BIBLIOTECA DELLA BIENNALE,9 Maggio - 11 Novembre 2026,45.42893028925422,12.358016224089988
Biennale Arte,GIARDINI DELLA BIENNALE,BOOKSHOP,9 Maggio - 11 Novembre 2026,45.42893028925422,12.358016224089988
Biennale Arte,GIARDINI DELLA BIENNALE,CAFFETTERIA,9 Maggio - 11 Novembre 2026,45.42893028925422,12.358016224089988
Biennale Arte,GIARDINI DELLA BIENNALE,Padiglioni Nazionali,9 Maggio - 11 Novembre 2026,45.42893028925422,12.358016224089988
Biennale Arte,GIARDINI DELLA BIENNALE,Padiglione Stirling,9 Maggio - 11 Novembre 2026,45.42893028925422,12.358016224089988
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,CORDERIE,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,SALE D'ARMI NORD E SUD,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,ARTIGLIERIE,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,ISOLOTTO,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,GAGGIANDRE,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,TESE DELLE VERGINI,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,GIARDINO DELLE VERGINI,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,PONTE DEI PENSIERI,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,FONDERIE E COMPARTO BOMBARDE,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,PADIGLIONE ITALIA,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Arte,ARSENALE SPAZI ESPOSITIVI,PADIGLIONI NAZIONALI,9 Maggio - 11 Novembre 2026,45.433965,12.352321
Biennale Teatro,CA' GIUSTINIAN,SALA DELLE COLONNE,7 Giugno - 21 Giugno 2026,45.43273121114925,12.336537927850403
Biennale Teatro,CA' GIUSTINIAN,LABORATORIO DELLE ARTI,7 Giugno - 21 Giugno 2026,45.43273121114925,12.336537927850403
Biennale Teatro,ARSENALE,TEATRO PICCOLO ARSENALE,7 Giugno - 21 Giugno 2026,45.433965,12.352321
Biennale Teatro,ARSENALE,TEATRO ALLE TESE,7 Giugno - 21 Giugno 2026,45.433965,12.352321
Biennale Teatro,ARSENALE,SALE D'ARMI NORD E SUD,7 Giugno - 21 Giugno 2026,45.433965,12.352321
Biennale Danza,CA' GIUSTINIAN,SALA DELLE COLONNE,17 Luglio - 1 Agosto 2026,45.43273121114925,12.336537927850403
Biennale Danza,ARSENALE,TEATRO PICCOLO ARSENALE,17 Luglio - 1 Agosto 2026,45.433965,12.352321
Biennale Cinema,PALAZZO DEL CINEMA,SALA GRANDE,2 Settembre - 12 Settembre 2026,45.405862621169256,12.367702179611758
Biennale Cinema,PALAZZO DEL CINEMA,SALA DARSENA,2 Settembre - 12 Settembre 2026,45.405862621169256,12.367702179611758
