Tipologia_Luogo,Nome_Descrizione,Dettagli_Struttura,Prezzo_Totale,Paga_Zero_Oggi,Cancellazione_Gratuita,URL_Annuncio
Appartamento ⋅ Venezia,3 Minuti da piazza San Marco con Terrazza A/C WiFi,"3 Minuti da piazza San Marco con Terrazza A/C WiFi | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",2931 € in totale Mostra il dettaglio dei prezzi  2931 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1084621239372555264
Appartamento ⋅ Venezia,Appartamento vicino al Teatro Biennale di Ca-Sa Check,"Appartamento vicino al Teatro Biennale di Ca-Sa Check | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",2252 € in totale Mostra il dettaglio dei prezzi  2252 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214408000128237176
Appartamento ⋅ Venezia,Ca' Nova Loft @ San Marco,"Ca' Nova Loft @ San Marco | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",2529 € in totale Mostra il dettaglio dei prezzi  2529 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/632583363073735214
Appartamento ⋅ Lido di Venezia,"Venezia e Mare, Lido di Venezia","Venezia e Mare, Lido di Venezia | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
2 bagni
,
 · 2 bagni | Host privato
Host privato",8980 € in totale Mostra il dettaglio dei prezzi  8980 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1602054115552664464
Alloggio (Venezia),Camera blu Ca' Vecchio Forno,"Camera blu Ca' Vecchio Forno | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",1987 € in totale Mostra il dettaglio dei prezzi  1987 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/52416887
Appartamento ⋅ Venezia,Ca' Emma alla Biennale - your home in Venice,"Ca' Emma alla Biennale - your home in Venice | 1 camera da letto
1 camera da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3375 € in totale Mostra il dettaglio dei prezzi  3375 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/53670356
Appartamento ⋅ Lido di Venezia,Casa incantevole al Lido Venice Beach,"Casa incantevole al Lido Venice Beach | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host professionista
Host professionista",13.620 € 12.270 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/934511716348321242
Appartamento ⋅ Venezia,Calle dei Preti,"Calle dei Preti | 2 camere da letto
2 camere da letto
2 letti
,
 · 2 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",3394 € in totale Mostra il dettaglio dei prezzi  3394 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/45589908
Appartamento ⋅ Venezia,Appartamento Bella Vista,"Appartamento Bella Vista | 1 camera da letto
1 camera da letto
3 letti
,
 · 3 letti
1 bagno
,
 · 1 bagno | Host privato
Host privato",4580 € 3419 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/582386687359485560
Appartamento ⋅ Venezia,Giardino di San Lorenzo,"Giardino di San Lorenzo | 1 camera da letto
1 camera da letto
1 letto a 2 piazze
,
 · 1 letto a 2 piazze
1 bagno
,
 · 1 bagno | Host privato
Host privato",4455 € in totale Mostra il dettaglio dei prezzi  4455 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17104230
