Tipologia_Luogo,Nome_Descrizione,Dettagli_Struttura,Prezzo_Totale,Paga_Zero_Oggi,Cancellazione_Gratuita,URL_Annuncio,Prezzo_Mostra_Totale,Prezzo_Mostra_Notte
Appartamento ⋅ Venezia,3 Minuti da piazza San Marco con Terrazza A/C WiFi,"3 Minuti da piazza San Marco con Terrazza A/C WiFi | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",2931 € in totale Mostra il dettaglio dei prezzi  2931 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1084621239372555264,2931,293.1
Appartamento ⋅ Venezia,Appartamento vicino al Teatro Biennale di Ca-Sa Check,"Appartamento vicino al Teatro Biennale di Ca-Sa Check | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",2252 € in totale Mostra il dettaglio dei prezzi  2252 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214408000128237176,2252,225.2
Appartamento ⋅ Venezia,Ca' Nova Loft @ San Marco,"Ca' Nova Loft @ San Marco | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",2529 € in totale Mostra il dettaglio dei prezzi  2529 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/632583363073735214,2529,252.9
Appartamento ⋅ Lido di Venezia,"Venezia e Mare, Lido di Venezia","Venezia e Mare, Lido di Venezia | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 2 bagni , · 2 bagni | Host privato Host privato",8980 € in totale Mostra il dettaglio dei prezzi  8980 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1602054115552664464,8980,898.0
Alloggio (Venezia),Camera blu Ca' Vecchio Forno,"Camera blu Ca' Vecchio Forno | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",1987 € in totale Mostra il dettaglio dei prezzi  1987 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/52416887,1987,198.7
Appartamento ⋅ Venezia,Ca' Emma alla Biennale - your home in Venice,"Ca' Emma alla Biennale - your home in Venice | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",3375 € in totale Mostra il dettaglio dei prezzi  3375 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/53670356,3375,337.5
Appartamento ⋅ Lido di Venezia,Casa incantevole al Lido Venice Beach,"Casa incantevole al Lido Venice Beach | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",13.620 € 12.270 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/934511716348321242,12270,1227.0
Appartamento ⋅ Venezia,Calle dei Preti,"Calle dei Preti | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",3394 € in totale Mostra il dettaglio dei prezzi  3394 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/45589908,3394,339.4
Appartamento ⋅ Venezia,Appartamento Bella Vista,"Appartamento Bella Vista | 1 camera da letto 1 camera da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host privato Host privato",4580 € 3419 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/582386687359485560,3419,341.9
Appartamento ⋅ Venezia,Giardino di San Lorenzo,"Giardino di San Lorenzo | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",4455 € in totale Mostra il dettaglio dei prezzi  4455 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17104230,4455,445.5
Appartamento ⋅ Lido di Venezia,Appartamento nel cuore del Lido con grande terrazza,"Appartamento nel cuore del Lido con grande terrazza | 3 camere da letto 3 camere da letto 4 letti , · 4 letti 1 bagno , · 1 bagno | Host privato Host privato",6753 € in totale Mostra il dettaglio dei prezzi  6753 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/938978623479288210,6753,675.3
Appartamento ⋅ Venezia,"Coppie benvenute, casa moderna a 5 min Biennale","Coppie benvenute, casa moderna a 5 min Biennale | 1 camera da letto 1 camera da letto 1 letto matrimoniale grande , · 1 letto matrimoniale grande 1 bagno , · 1 bagno | Host privato Host privato",4352 € 3924 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/37980243,3924,392.4
B&B a Venezia,Locanda Ca' Valeri,Locanda Ca' Valeri | 2 camere disponibili 2 camere disponibili,2335 €  2102 € 2102 € in totale. Prezzo originario: 2335 €  in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1552109099784204953,2102,210.2
Appartamento ⋅ Lido di Venezia,Casa 7 Lido Venice Beach,"Casa 7 Lido Venice Beach | 2 camere da letto 2 camere da letto 6 letti , · 6 letti 2 bagni , · 2 bagni | Host professionista Host professionista",17.395 € 15.665 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/934504084808776735,15665,1566.5
Appartamento ⋅ Venezia,"La Casetta di Foscolo by Venicevillas, Biennale","La Casetta di Foscolo by Venicevillas, Biennale | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",2710 € in totale Mostra il dettaglio dei prezzi  2710 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51811518,2710,271.0
Lido di Venezia: stanza,Mostra del cinema di venezia,"Mostra del cinema di venezia | 2 letti 2 letti 1 bagno , · 1 bagno | Host privato Host privato",3761 € in totale Mostra il dettaglio dei prezzi  3761 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/686297002562728779,3761,376.1
Appartamento ⋅ Venezia,Castello 5067 Boutique Apartment vicino a Piazza San Marco,"Castello 5067 Boutique Apartment vicino a Piazza San Marco | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host privato Host privato",3985 € 3395 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/33905388,3395,339.5
Appartamento ⋅ Venezia,"Ca Lion di Venicevillas, Biennale","Ca Lion di Venicevillas, Biennale | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3777 € in totale Mostra il dettaglio dei prezzi  3777 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51614407,3777,377.7
Appartamento ⋅ Castello,Gallery House @Venezia,"Gallery House @Venezia | 3 camere da letto 3 camere da letto 3 letti , · 3 letti 2 bagni , · 2 bagni | Host professionista Host professionista",5404 € 4354 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/54052670,4354,435.4
Casa ⋅ Castello,Antica Dimora Veneziana con Pergolato,"Antica Dimora Veneziana con Pergolato | 2 camere da letto 2 camere da letto 4 letti , · 4 letti 2 bagni , · 2 bagni | Host professionista Host professionista",4003 € in totale Mostra il dettaglio dei prezzi  4003 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1178838844705171456,4003,400.3
Castello: stanza,Camera privata a Castello tra Biennale & San Marco,"Camera privata a Castello tra Biennale & San Marco | 1 letto a 2 piazze 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",2373 € in totale Mostra il dettaglio dei prezzi  2373 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17553690,2373,237.3
Appartamento ⋅ Castello,Suite Biennale Gallery,"Suite Biennale Gallery | 1 camera da letto 1 camera da letto 1 letto matrimoniale , · 1 letto matrimoniale 1 bagno , · 1 bagno | Host privato Host privato",4210 € 3795 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51118138,3795,379.5
Alloggio (Castello),Suite romantica a due passi da San Marco,"Suite romantica a due passi da San Marco | 1 camera da letto 1 camera da letto 1 letto , · 1 letto 1 bagno , · 1 bagno | Host privato Host privato",2843 € in totale Mostra il dettaglio dei prezzi  2843 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1697934656716644063,2843,284.3
Castello: stanza,Casa Stainer Camera bagno esterno esclusivo,"Casa Stainer Camera bagno esterno esclusivo | 1 letto a 2 piazze 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",1847 € in totale Mostra il dettaglio dei prezzi  1847 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/32077336,1847,184.7
Appartamento ⋅ Castello,Riva Home Gallery - Terrazza privata e ascensore,"Riva Home Gallery - Terrazza privata e ascensore | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 2 bagni , · 2 bagni | Host privato Host privato",7093 € in totale Mostra il dettaglio dei prezzi  7093 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1415363904072167743,7093,709.3
Appartamento ⋅ Castello,Appartamento Biennale Venezia,"Appartamento Biennale Venezia | 2 camere da letto 2 camere da letto 6 letti , · 6 letti 1 bagno , · 1 bagno | Host privato Host privato",3840 € in totale Mostra il dettaglio dei prezzi  3840 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51600586,3840,384.0
Appartamento ⋅ Castello,CasaLuce - Luminoso appartamento a San Marco,"CasaLuce - Luminoso appartamento a San Marco | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",4622 € in totale Mostra il dettaglio dei prezzi  4622 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1297668926728482984,4622,462.2
Appartamento ⋅ Castello,Residenza Anna Azzurra,"Residenza Anna Azzurra | 2 camere da letto 2 camere da letto 2 letti a 2 piazze , · 2 letti a 2 piazze 2 bagni , · 2 bagni | Host privato Host privato",3673 € 3355 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1619033841364034491,3355,335.5
Appartamento ⋅ Castello,Attico Bragora Smoochy Venezia,"Attico Bragora Smoochy Venezia | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",2869 € in totale Mostra il dettaglio dei prezzi  2869 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/19262607,2869,286.9
Appartamento ⋅ Castello,casa a Venezia sul canale tra il verde.,"casa a Venezia sul canale tra il verde. | 3 camere da letto 3 camere da letto 3 letti a 2 piazze , · 3 letti a 2 piazze 2 bagni , · 2 bagni | Host privato Host privato",4164 € in totale Mostra il dettaglio dei prezzi  4164 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/23635043,4164,416.4
Appartamento ⋅ Castello,Romantico loft,"Romantico loft | 1 camera da letto 1 camera da letto 1 letto , · 1 letto 1 bagno , · 1 bagno | Host professionista Host professionista",1878 € in totale Mostra il dettaglio dei prezzi  1878 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1613820178587337673,1878,187.8
Appartamento ⋅ Castello,Ca' di Malta Camera 1 di Wonderful Italy,"Ca' di Malta Camera 1 di Wonderful Italy | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",2370 € in totale Mostra il dettaglio dei prezzi  2370 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214247555915047593,2370,237.0
