Nome_Hotel,Tipologia_Sistemazione,Prezzo_Totale_10Notti,Rating,Distanza_Centro
New Reiter Hotel,Camera Superior Matrimoniale/Doppia con Letti Singoli,7.596,"8,8",250 m dal centro
Hotel Villa Delle Palme,Camera Matrimoniale Standard,11.018,"9,3",200 m dal centro
Hotel Biasutti,Camera Tripla Classic,7.776,"8,5",350 m dal centro
Villa Marina,Camera Tripla,5.612,"8,9","5,4 km dal centro"
Cà ARIVANLIAL Venice villa apartament,Appartamento con 3 Camere da Letto,18.130,"9,3","0,7 km dal centro"
Hotel Giardinetto Venezia,Camera Classic Matrimoniale/Doppia con Letti Singoli,6.605,"8,6",100 m dal centro
Villamamaeli,Appartamento con 1 Camera da Letto,6.270,"9,7",5 km dal centro
Esmeralda,Appartamento Superior,9.040,"9,5",200 m dal centro
Relais Alberti,Camera Matrimoniale Deluxe,7.430,"9,3","5,5 km dal centro"
Ca' Yvonne alloggio a Lido di Venezia,Appartamento con 2 Camere da Letto,8.835,"9,4",450 m dal centro
Ca' Luciano alloggio a Lido di Venezia,Appartamento con 2 Camere da Letto,9.940,"9,6",450 m dal centro
Casa Rosabianca,Casa con 1 Camera da Letto,4.880,"9,8","5,6 km dal centro"
Appartamento Alla Riviera,Appartamento,6.380,"9,7","3,5 km dal centro"
Ca' Barbarigo Apartments,Appartamento con 3 Camere da Letto,39.980,"9,5","0,9 km dal centro"
House Lovely Lido Venice Beach,Appartamento Standard,13.720,"8,6",150 m dal centro
Oasis Lagoon Estate,Appartamento con 3 Camere da Letto e Vista Laguna,16.580,"9,5","0,7 km dal centro"
Spacious House Venice Lido near ferry and the sea,Appartamento con 3 Camere da Letto,13.910,"8,3",150 m dal centro
"Villa Gallo 1915, luxurious villa with garden and SPA",Villa,23.330,"9,8",200 m dal centro
New Opening House 7 Lido Venice Near Ferry And Beach,Appartamento con 2 Camere da Letto,17.540,"9,7",150 m dal centro
Residence La Fenice,Appartamento con 1 Camera da Letto e Terrazza,4.596,"8,6","3,3 km da Lido di Venezia"
Carnival Palace - Venice Collection,Camera Classic Matrimoniale/Doppia con Letti Singoli,3.709,"9,3",5 km da Lido di Venezia
Generator Venice,Posto Letto in Dormitorio Misto,2.014,"8,1","2,7 km da Lido di Venezia"
FloVe' Rooms Venice,Camera Deluxe,2.161,"9,1","4,9 km da Lido di Venezia"
San Simeon Apartments,Appartamento con Vista Canale,2.971,"8,9","2,5 km da Lido di Venezia"
Al Mascaron Ridente,Camera Matrimoniale/Doppia con Letti Singoli,2.266,"8,7","4,3 km da Lido di Venezia"
Locanda Cà Le Vele,Camera Matrimoniale Economy,2.340,"8,4","3,8 km da Lido di Venezia"
Torre Dell'Orologio Signature Residence,Appartamento Deluxe,3.032,"8,5","3,1 km da Lido di Venezia"
Hotel Cannaregio 2357,Camera Matrimoniale Standard,2.559,"8,7","4,2 km da Lido di Venezia"
Dimora Al Doge Beato Canal View,Camera Tripla Deluxe con Vista Giardino,3.037,"9,0","4,1 km da Lido di Venezia"
Hotel Marte,Camera Matrimoniale Economy,2.499,"8,7","4,5 km da Lido di Venezia"
Alloggi Marinella,Camera Matrimoniale Superior,2.287,"9,0","4,4 km da Lido di Venezia"
Centrale Mazzoni Apartments R&R,Appartamento Standard,4.053,"8,4","4,8 km da Lido di Venezia"
Hotel Falier,Camera Matrimoniale,2.280,"8,4","4,2 km da Lido di Venezia"
First Dream Venice,Camera Matrimoniale Standard,2.239,"7,8","3,2 km da Lido di Venezia"
Corte Nova,Appartamento con 1 Camera da Letto e Vista Giardino,4.111,"9,0","2,8 km da Lido di Venezia"
Hotel Ai Cavalieri di Venezia,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,5.983,"9,3","3,2 km da Lido di Venezia"
San Clemente Palace Venice,Camera Grand Deluxe,11.746,"8,8","2,7 km da Lido di Venezia"
Hotel Carlton Capri,Matrimoniale Standard,2.134,"8,4","4,4 km da Lido di Venezia"
Ca' Dei Dogi,Camera Deluxe con Terrazza,4.600,"8,4","2,8 km da Lido di Venezia"
Casa Alla Fenice,Camera Matrimoniale,2.722,"8,6","3,4 km da Lido di Venezia"
B&B Patatina,Camera Deluxe Matrimoniale/Doppia con Letti Singoli con Vista Città,4.429,"9,2","4,1 km da Lido di Venezia"
Casa Sul Molo,Camera Matrimoniale/Doppia con Letti Singoli,2.731,"8,5","3,1 km da Lido di Venezia"
Casa Kirsch,Camera Deluxe,3.191,"8,7","2,9 km da Lido di Venezia"
Residenza Goldoni,Camera Quadrupla,2.939,"8,0","3,3 km da Lido di Venezia"
Alla Vite Dorata,Appartamento Deluxe con 2 Camere da Letto,4.716,"9,6","3,7 km da Lido di Venezia"
Cà Dell'Arte Palace,Camera Matrimoniale con Bagno Privato Esterno,3.548,"9,1","3,3 km da Lido di Venezia"
Hotel Bisanzio,Camera Matrimoniale/Doppia con Letti Singoli,5.551,"8,4","2,7 km da Lido di Venezia"
Casanova Hideaway,Camera Tripla Superior,2.914,"9,3","3,7 km da Lido di Venezia"
Hotel Palazzetto Madonna,Suite Executive,5.089,"8,8","3,8 km da Lido di Venezia"
Grimaldi Apartments Cannaregio,Appartamento Santa Sofia con 1 Camera da Letto - Cannaregio 4284/b,2.546,"8,9","3,7 km da Lido di Venezia"
