Nome_Hotel,Tipologia_Sistemazione,Prezzo_Totale_10Notti,Rating,Distanza_Centro
Hotel Le Isole,Camera Matrimoniale Deluxe,5.022,"8,9",N/A
Hotel Lux,Camera Matrimoniale Piccola,2.005,"7,0",N/A
Hotel Canaletto,Camera Familiare Classic (3 Adulti),3.411,"8,6",N/A
Residenza Anna Azzurra,Appartamento con 2 Camere da Letto,3.457,"9,3",N/A
Cozy apartment near Biennale,Appartamento con 1 Camera da Letto,1.976,"9,1",N/A
"Ca' Elisabetta, Romantic Suite",Appartamento con 1 Camera da Letto,2.679,"8,8",N/A
Tre Sestieri Terrace - CANAL VIEW 2024,Camera Matrimoniale con Bagno Privato,2.354,"8,8",N/A
Hotel Corte Contarina,Camera Deluxe,3.067,"8,7",N/A
Hotel Scandinavia - Relais,Camera Matrimoniale Classic,2.558,"8,5",N/A
Venetians loft Moschette,Appartamento con 2 Camere da Letto,2.140,"7,9",N/A
Biennale Ensuite Rooms By Bricola Apartments,Camera Matrimoniale Deluxe (2 Adulti + 1 Bambino),2.121,"7,7",N/A
Hotel Canada,Camera Matrimoniale Piccola,2.007,"7,0",N/A
Casa Favaretto Guest House,Camera Matrimoniale/Doppia con Letti Singoli con Bagno in Comune,2.679,"8,9",N/A
Ca' Nova @San Marco,Appartamento con 1 Camera da Letto,2.433,"8,0",N/A
comodo appartamento centrale,Appartamento Standard con 1 Camera da Letto,2.050,"7,2",N/A
Sara in Venice,Appartamento con 1 Camera da Letto,2.488,"9,5",N/A
Hotel Ai Due Principi,Camera Matrimoniale Classic,3.036,"7,8",N/A
Corte Rota Terrace San Marco,Appartamento con 1 Camera da Letto,2.836,"6,9",N/A
Stylish Self-Contained Room & Bath in Castello between Biennale & San Marco,Camera Deluxe,2.118,"9,7",N/A
DolceVita Apartments N 394,Appartamento Deluxe,2.758,"8,6",N/A
Hotel Castello,Camera Matrimoniale,2.406,"8,1",N/A
CASA BANON,Camera Matrimoniale,1.751,"6,0",N/A
Residence Ca' di Malta Arsenale by Wonderful Italy,Camera Tripla con Vista Mare,2.203,"7,6",N/A
Residenza Donini in Venice Suite 2,Appartamento con 1 Camera da Letto,2.634,"9,5",N/A
Ca' San Zaccaria,Camera Matrimoniale Standard,2.143,"7,5",N/A
LN HOMES VENICE - San Marco Canal View,Appartamento Deluxe,2.769,"9,3",N/A
Hotel Paganelli,Camera Matrimoniale - Dependance,3.874,"8,7",N/A
Veneziacentopercento Rooms,Camera Budget con Bagno in Comune,2.258,"8,0",N/A
Venice Cosmia apartment CASTELLO,Appartamento con 1 Camera da Letto,2.307,"6,7",N/A
Ca’ Salicornia,Monolocale,2.090,"8,4",N/A
Rialto Dream - Wifi,Appartamento con 1 Camera da Letto,2.525,"9,1",N/A
Appartamento Ca’De la Madonna by Ca-Sa Check,Appartamento,2.096,"8,5",N/A
Veneziacentopercento Nicoli Apartment,Appartamento con 1 Camera da Letto,3.184,"8,7",N/A
The boat experience Hotel galleggiante in barca,Casa Mobile,2.098,"9,1",N/A
Ca' della Darsena - Arsenale by Wonderful Italy,Appartamento con 1 Camera da Letto e Vista Canale,2.272,"7,4",N/A
Hotel Da Bruno,Camera Quadrupla,3.983,"8,9",N/A
Appartamento Biennale,Appartamento con 2 Camere da Letto,3.218,"8,4",N/A
CasaGiulietta,Appartamento con 1 Camera da Letto,2.398,"9,2",N/A
"Aquamare, boutique b&b",Camera Superior Matrimoniale/Doppia con Letti Singoli,4.000,"9,6",N/A
Da Bruno Homes,Appartamento con 1 Camera da Letto - Calle de la Testa,2.543,"9,1",N/A
Palazzo dei Mori,Camera Deluxe,4.411,"9,7",N/A
Apartment with court center Venice Historical Center,Appartamento con 1 Camera da Letto,3.174,"9,4",N/A
Biennale,Suite Deluxe,2.143,"8,3",N/A
Garden in Venice Biennale,Appartamento,3.962,"9,5",N/A
Veneziacentopercento Alle Ancore Apartment,Appartamento,3.339,"8,7",N/A
Cà Valeri,Camera Matrimoniale Comfort,2.318,"8,6",N/A
Hotel Casa Verardo Residenza d'Epoca,Junior Suite con Vista Canale,5.043,"9,3",N/A
Hotel Colombina,Camera Tripla Deluxe,5.200,"8,8",N/A
"Ca Lion by Venicevillas, vicino Biennale",Appartamento con 2 Camere da Letto,3.692,"8,9",N/A
